title,author,runtime,release_date,list_number
The Woman in Me,Britney Spears,5 hrs and 31 mins,10-24-23,1
Worthy,Jada Pinkett Smith,14 hrs and 57 mins,10-17-23,2
Atomic Habits,James Clear,5 hrs and 35 mins,10-16-18,3
Killers of the Flower Moon,David Grann,9 hrs and 4 mins,04-18-17,4
The Exchange,John Grisham,9 hrs and 1 min,10-17-23,5
Lessons in Chemistry,Bonnie Garmus,11 hrs and 55 mins,04-05-22,6
Elon Musk,Walter Isaacson,20 hrs and 27 mins,09-12-23,7
Tom Lake,Ann Patchett,11 hrs and 22 mins,08-01-23,8
Fourth Wing,Rebecca Yarros,20 hrs and 43 mins,05-02-23,9
Slayers: A Buffyverse Story,"Christopher Golden, Amber Benson",8 hrs and 2 mins,10-12-23,10
Be Useful,Arnold Schwarzenegger,6 hrs and 19 mins,10-10-23,11
Prequel,Rachel Maddow,13 hrs and 9 mins,10-17-23,12
None of This Is True,Lisa Jewell,10 hrs and 20 mins,08-08-23,13
Holly,Stephen King,15 hrs and 24 mins,09-05-23,14
A Court of Thorns and Roses,Sarah J. Maas,16 hrs and 7 mins,05-05-15,15
The 4-Hour Body,Timothy Ferriss,3 hrs and 51 mins,12-14-10,16
Greenlights,Matthew McConaughey,6 hrs and 42 mins,10-20-20,17
Going Infinite,Michael Lewis,8 hrs and 56 mins,10-03-23,18
"Harry Potter and the Sorcerer's Stone, Book 1",J.K. Rowling,8 hrs and 18 mins,11-20-15,19
Thicker than Water,Kerry Washington,8 hrs and 59 mins,09-26-23,20
I Must Say,Martin Short,8 hrs and 40 mins,11-04-14,21
The Covenant of Water,Abraham Verghese,31 hrs and 16 mins,05-02-23,22
Can't Hurt Me,David Goggins,13 hrs and 37 mins,11-28-18,23
The Subtle Art of Not Giving a F*ck,Mark Manson,5 hrs and 17 mins,09-13-16,24
Iron Flame,Rebecca Yarros,28 hrs and 16 mins,11-07-23,25
Outlive,"Peter Attia MD, Bill Gifford - contributor",17 hrs and 7 mins,03-28-23,26
The Housemaid,Freida McFadden,9 hrs and 46 mins,04-26-22,27
Demon Copperhead,Barbara Kingsolver,21 hrs and 3 mins,10-18-22,28
12 Rules for Life,"Jordan B. Peterson, Norman Doidge MD",15 hrs and 40 mins,01-23-18,29
Enough,Cassidy Hutchinson,11 hrs and 36 mins,09-26-23,30
Third Eye,Felicia Day,6 hrs and 56 mins,10-05-23,31
Verity,Colleen Hoover,8 hrs and 10 mins,05-07-19,32
The Body Keeps the Score,Bessel A. van der Kolk,16 hrs and 15 mins,02-16-21,33
A Court of Mist and Fury,Sarah J. Maas,23 hrs and 16 mins,05-03-16,34
